東淀川区内　災害時避難所,,
避難所,所在地,電話番号
東井高野小学校,東淀川区井高野2-8-28,06-6340-7647
井高野中学校,東淀川区井高野2-8-13,06-6340-2500
井高野小学校,東淀川区井高野1-28-17,06-6340-0223
大隅東小学校,東淀川区瑞光5-8-19,06-6328-0214
大隅西小学校,東淀川区大隅2-3-18,06-6328-6557
瑞光中学校,東淀川区瑞光4-9-37,06-6328-5721
大阪経済大学,東淀川区大隅2-2-8,06-6328-2431
大桐小学校,東淀川区大桐4-1-15,06-6328-0904
大桐中学校,東淀川区大桐4-5-8,06-6326-5838
大道南小学校,東淀川区大道南1-23-6,06-6321-7588
豊里小学校,東淀川区豊里5-14-60,06-6328-0241
東淀中学校,東淀川区豊里6-25-19,06-6328-5650
新東淀中学校,東淀川区豊里1-10-32,06-6327-6760
大阪北視覚支援学校,東淀川区豊里7-5-26 ,06-6328-7000
北淀高等学校,東淀川区豊里2-11-35,06-6328-2331
豊里南小学校,東淀川区豊里5-12-41,06-6329-0880
豊新小学校,東淀川区豊新4-17-26,06-6327-5591
小松小学校,東淀川区小松3-18-15,06-6328-1936
大阪高等学校,東淀川区相川2-18-51,06-6340-3031
大阪成蹊学園,東淀川区相川3-10-62,06-6829-2508
新庄小学校,東淀川区上新庄2-20-5,06-6328-0164
関西大学北陽高等学校,東淀川区上新庄1-3-26,06-6328-5964
下新庄小学校,東淀川区下新庄5-2-9,06-6328-1235
菅原小学校,東淀川区菅原6-3-25,06-6328-3005
東淡路小学校,東淀川区東淡路3-3-32,06-6322-2706
柴島中学校,東淀川区柴島2-8-36,06-6322-2566
西淡路小学校,東淀川区西淡路5-5-32,06-6322-5000
淡路中学校,東淀川区西淡路4-25-53,06-6322-4401
もと西淡路小学校,東淀川区西淡路3-14-11,06-6322-4100
啓発小学校・中島中学校,東淀川区東中島4-8-38,06-6322-0120
東淀川支援学校,東淀川区東中島3-5-22,06-6325-9011
柴島高等学校,東淀川区柴島1-7-106,06-6323-8351
